description,manufacturer,correct_code,correct_desc,form,amount,dosage
"КЕТИЛЕПТ 0,2 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Эгис Фармацевтический завод ЗАО,17582,кетилепт,табл п/плен/оболоч,60,200мг
"КАРДИОМАГНИЛ 0,15+0,03039 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Такеда Фармасьютикалс, ООО",43115,кардиомагнил,табл п/плен/оболоч,30,"150мг 30,39мг"
"КОРДИНОРМ 0,01 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Каталент Германия Шорндорф ГмбХ.,15242,кординорм,табл п/плен/оболоч,30,10мг
"ЦИФРАН 0,5 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Сан Фармасьютикал Индастриз Лтд,45671,цифран,табл п/плен/оболоч,10,500мг
"МЕТФОРМИН-РИХТЕР 0,5 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ",ГЕДЕОН РИХТЕР-РУС АО,17145,метформин-рихтер,табл п/плен/оболоч,60,500мг
ИНСУМАН РАПИД ГТ 100МЕ/МЛ 3МЛ N5 ШПРИЦ-РУЧ Р-Р,"Санофи-Авентис Восток, ЗАО",42919,инсуман рапид гт мл -ручки солостар,раствор для инъекций шприц,5,100ме 3мл
"ФУРАЦИЛИН 0,02 N20 ТАБЛ Д/Р-РА МЕСТ/НАРУЖ ПРИМ/ОБНОВЛЕНИЕ",Обновление ПФК  АО,47606,фурацилин,табл,20,20мг
"ГИЛАН УЛЬТРА КОМФОРТ РАСТВОР УВЛАЖНЯЮЩИЙ ОФТАЛЬМОЛОГИЧЕСКИЙ 0,4МЛ N10 ТЮБИК/КАП","Гротекс, ООО",44951,гилан ультра комфорт увлажофтальмолог,раствор,10,"0,4мл"
ЦИТРАМОН П N20 ТАБЛ ИНД/УП /RENEWAL/,Обновление ПФК  АО,27933,цитрамон,табл п/плен/оболоч,20,
"РЕБЕТОЛ 0,2 N140 КАПС",МСД Интернэшнл ГмбХ (Пуэрто-Рико Бранч) ЛЛС/Шеринг-Плау Лабо Н.В,44075,ребетол,капс,140,200мг
"ГУТТАСИЛ 0,0075 N30 ТАБЛ",Фармак ПАО,42660,гуттасил,табл,30,"7,5мг"
"ДУЛЬКОЛАКС 0,005 N30 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",Дельфарм Реймс,46947,дульколакс,табл п/плен/оболоч кишечнораствор блистер,30,5мг
"ЭКОФУРИЛ 0,2 N16 КАПС",АВВА РУС  АО,42920,экофурил,капс,16,200мг
ПИРОГЕНАЛ 50МКГ/100МКГ/150МКГ/200МКГ N12 СУПП РЕКТ НАБОР,ФГБУ НИИЭМ им.Н.Ф.Гамалеи Минздравсоцразвития,29602,пирогенал по 3 шт: 50 100 150,супп,12,200мкг
"ФЛУИМУЦИЛ 0,6 N10 ШИП ТАБЛ",Замбон Свитцерланд Лтд,6703,флуимуцил шип,табл,10,600мг
"ГЛИМЕПИРИД КАНОН 0,002 N30 ТАБЛ","Канонфарма продакшн, ЗАО",22933,глимепирид-канон,табл,30,2мг
"НОВОКАИН БУФУС 0,005/МЛ 5МЛ N10 АМП Р-Р Д/ИН",Обновление ПФК  АО,18847,новокаин буфус renewal,раствор,10,0.5% 5мл
"ТЕТРАЦИКЛИН 1% 5,0 ГЛ МАЗЬ",Татхимфармпрепараты ОАО,41140,тетрациклин глазн,мазь,1,1% 5г
"БЕРГОЛАК 0,0005 N2 ТАБЛ","Верофарм,АО",42727,берголак,табл,2,"0,5мг"
"КСАЛАТАМАКС 0,005% 2,5МЛ КАПЛИ ГЛАЗНЫЕ",ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ а.о.,42367,ксалатамакс пипетдозат,флакон глаз капли,1,"0,005% 2,5мл"
МИЗОЛ ЭВАЛАР 1% 10МЛ Р-Р Д/НАРУЖ ПРИМ,Эвалар ЗАО,47178,мизол эвалар,д/наруж д/мест фл/кап раствор,1,1% 10мл
"РЕАМБЕРИН 1,5% 200МЛ N1 БУТЫЛКА Р-Р Д/ИНФ","ПОЛИСАН НТФФ, ООО",9849,реамберин бут,раствор д/инф,1,1.5% 200мл
"ДИНАМИКО ФОРВАРД 0,1 N1 САШЕ ПЛЕНКИ ДИСПЕРГ В ПОЛОСТИ РТА",СТСБИО Инк,43813,динамико форвард пленки дисперг полости рта,,1,100мг
"МОВАСИН 0,01/МЛ 1,5МЛ N5 АМП Р-Р В/М","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",48544,мовасин,раствор амп в/м,5,10мг/мл 1.5мл
"ЛИЗИНОТОН 0,01 N28 ТАБЛ",Актавис Лтд,7068,лизинотон,табл,28,10мг
"ГЕПА-МЕРЦ 3,0/5,0 N10 ПАК ГРАНУЛЫ Д/Р-РА",Клоке Фарма-Сервис ГмбХ/ Мерц Фарма ГмбХ и Ко.КГаА,12428,гепа-мерц гран д/,д/вн/пр д/мест д/приг раствора пак,10,3г 5г
"АЛКОКЛИН ГЛУТАРГИН 1,0/3,0 N2 ПАК ПОР Д/Р-РА ВНУТ","Здоровье фарм. компания, ООО",47699,алкоклин глутаргин не,д/вн/пр д/приг д/приг сусп раствора,2,1г 3г
"АТОРВАСТАТИН 0,01 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ/КАНОНФАРМА/","Канонфарма продакшн, ЗАО",14103,аторвастатин,табл п/плен/оболоч,30,10мг
"ПЛАНТЕКС 5,0 N30 ПАК ГРАН Д/Р-РА Д/ДЕТЕЙ",Лек Д.Д.,37945,плантекс гран,д/вн/пр д/дет д/приг раствора пак,30,5г
ЛАКТАЗА БЭБИ N90 КАПС,Нэйшнл Энзайм Компани,14463,лактаза бэби,капс,90,220мг
"НИПЕРТЕН 0,005 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",36949,нипертен,табл п/плен/оболоч,100,5мг
"РИМЕКОР 0,02 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Хемофарм,ООО",41037,римекор,табл п/плен/оболоч,30,20мг
"ДОКСИ-ХЕМ 0,5 N90 КАПС","Хемофарм А.Д.Вршац, произ-ая площадка Шабац/ Хемофарм А.Д.",46332,докси-хем,капс,90,500мг
"АМОКСИЦИЛЛИН+КЛАВУЛАНОВАЯ К-ТА 1,0+0,2N1 ПОР В/В",Красфарма (ПАО),37700,амоксициллинклавулановая д/ 1002,п/плен/оболоч д/приг сусп флакон раствор к-та в/в,1,
"ЭНАП 0,0025 N60 ТАБЛ","КРКА-РУС, ООО",39541,энап,табл,60,2.5мг
МАСТОДИНОН 50МЛ ФЛАК/КАП КАПЛИ,Бионорика СЕ,388,мастодинон,д/вн/пр флакон капли,1,50мл
"АСКОРБИНОВАЯ К-ТА С ГЛЮКОЗ 0,1 N10 ТАБЛ","Фармстандарт-Уфимский витаминный завод,ОАО",4661,аскорбиновая с глюкозой,табл к-та,10,100мг 877мг
"ЭСКЕЙП 0,120МГ N112 ТАБ П/ПЛЕН/ОБОЛОЧ",Фармстандарт-Лексредства ОАО,42749,эскейп,табл п/плен/оболоч,112,120мг
"БИЛОБИЛ 0,04 N60 КАПС","КРКА, д.д., Ново место, АО",44564,билобил не,капс,60,40мг
АНГИОСЕПТ ГОТОВОЕ ПОЛОСКАНИЕ С ШАЛФЕЕМ 200МЛ,"Артлайф, ООО",22824,ангиосепт полоскан пол рта шалфей,д/инг,1,200мл
"ТЕЛПРЕС ПЛЮС 0,0125+0,08 N28 ТАБЛ",Лабораториос Ликонса С.А./Радуга Продакшн ЗАО,46089,телпрес плюс,табл,28,".12,5мг 80мг"
ФОСФО-СОДА 45МЛ N2 Р-Р Д/ПРИЕМА ВНУТРЬ ФЛАК,"Касен Рекордати, С.Л.",44376,фосфо-сода,д/вн/пр д/мест раствор,2,45мл
МАСЛО ДЫШИ 10МЛ ФЛАК С КАП,"Биосфера, ООО",20519,масло дыши,флакон,1,10мл
"ОФЛОКСАЦИН-ТЕВА 0,2 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Тева Прайвэт Ко.Лтд Фарм.завод,22863,офлоксацин-тева,табл п/плен/оболоч,10,200мг
"МЕКСИПРИМ 0,125 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Обнинская химико-фармацевтическая компания ЗАО,40150,мексиприм,табл п/плен/оболоч,30,125мг
"ВЕРОКУТАН 0,02 N30 КАПС","Верофарм,АО",47781,верокутан,капс,30,20мг
СОЛГАР ЭКСТРАКТ ЭХИНАЦЕИ ПУРПУРНОЙ N100 КАПС,Solgar Vitamin and Herb,20295,солгар экстракт эхинацеи пурпурной бад,капс,100,
"ЛИЗИНОПРИЛ-ТЕВА 0,02 N30 ТАБЛ","Тева, ООО",43490,лизиноприл-тева,табл,30,20мг
АНВИМАКС N10 ТАБЛ ШИП/МАЛИНА,ФармВилар НПО ООО,46370,анвимакс малина шип,табл,10,
"ГЕМАТОГЕН С ЛЮКС 50,0 ПЛИТКА",ВОЗРОЖДЕНИЕ и РАЗВИТИЕ ООО,38570,гематоген с люкс,,1,50г
"ТЕРМИКОН 1% 15,0 КРЕМ",ЛЕККО  ЗАО,45365,термикон,д/наруж д/мест крем туба,1,1% 15г
МАРИМЕР АСПИРАТОР НАЗАЛЬНЫЙ ДЕТ,Лаборатория Жильбер,40092,маример аспиратор,д/дет назал,1,
ГАСТАЛ N48 ТАБЛ Д/РАССАС /ВИШНЯ/,Плива Хрватска д.о.о.,12364,гастал /вишня/,табл д/рассас,48,
СОЛГАР МАСЛО ПРИМУЛЫ ВЕЧЕРНЕЙ N60 КАПС,Solgar Vitamin and Herb,20267,солгар примулы вечерней бад,капс масло,60,500мг
"ОФТАН-ТИМОЛОЛ 0,5% 5МЛ ГЛ КАПЛИ",САНТЭН АО,3998,офтан тимолол с пробками кап,флакон,1,0.5% 5мл
"НИФУРАЛ 0,2 N16 КАПС","Оболенское Фармацевтическое предприятие, ЗАО",46940,нифурал,капс,16,200мг
"ОРСОТЕН СЛИМ 0,06 N42 КАПС","КРКА-РУС, ООО",36950,орсотен слим,капс,42,60мг
"АМБРОГЕКСАЛ 0,006/МЛ 100МЛ СИРОП",Лихтенхельдт ГмбХ Фармацойтише Фабрик/Салютас Фарм,37462,амброгексал мерн ложка,флакон сироп,1,6мг/мл 100мл
"РОЗУВАСТАТИН-СЗ 0,02 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Северная Звезда, ЗАО",42450,розувастатин-сз,табл п/плен/оболоч,60,20мг
"ГАБАПЕНТИН 0,3 N50 КАПС","ПИК-ФАРМА ЛЕК, ООО",40850,габапентин,капс,50,300мг
ГРИППОСТАД С N10 КАПС,Штада Арцнаймиттель  АГ,4063,гриппостад /витс/,капс,10,
ЦИТРОДЖЕКС ВИТАМИН С 900 N20 ТАБЛ ШИП,"Арттехнолоджи, ООО",46484,цитроджекс витамин с 900 х 20,табл,1,"3,8г"
"КОРЕГА КРЕМ ДЛЯ ФИКСАЦИИ ЗУБНЫХ ПРОТЕЗОВ МАКСИМАЛЬНОЕ ПРИЛЕГАНИЕ 40,0",Стаффорд Миллер (Ирландия) Лтд,46933,корега максимальное прилегание д/фикс зуб протезов,крем,1,40г
"АФИНИТОР 0,01 N30 ТАБЛ",Новартис Фарма Штейн АГ,42967,афинитор,табл,30,10мг
"ГЛИМЕПИРИД 0,003 N30 ТАБЛ /ВЕРТЕКС/",Вертекс Акционерное Общество,46836,глимепирид,табл,30,3мг
"АККУПРО 0,02 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ,2466,аккупро,табл п/плен/оболоч,30,20мг
"ВИТАМИН С 1200 N10 ШИП ТАБЛ ПО 3,8Г",Эвалар ЗАО,46121,витамин с 1200 шип,табл,10,"3,8г"
ВАЗАПРОСТАН 20МКГ N10 АМП ЛИОФ Д/Р-РА Д/ИНФ,Ай Ди Ти Биологика ГмбХ/Эйсика Фармасьютикалз Гмбх,44083,вазапростан лиоф,д/приг раствора амп д/инф,10,20мкг 48.2мг
"АМАРИЛ 0,002 N30 ТАБЛ",Санофи С.п.А.,6841,амарил,табл,30,2мг
"ФОРОЗА 0,07 N4 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лек Д.Д.,16124,фороза,табл п/плен/оболоч,4,70мг
"НАЙЗ 1% 20,0 ГЕЛЬ Д/НАРУЖ ПРИМ",Д-р Редди с Лабораторис Лтд,9888,найз,гель,1,1% 20г
"ЦЕТИРИЗИН-ТЕВА 0,01 N20 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Тева Фармацевтические Предприятия Лтд,47652,цетиризин-тева,табл п/плен/оболоч,20,10мг
"НИПЕРТЕН 0,005 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",16636,нипертен,табл п/плен/оболоч,30,5мг
"МЕКСИДОЛ 0,05/МЛ 5МЛ N5 АМП Р-Р В/В В/М/АРМАВИР","АРМАВИРСКАЯ БИОФАБРИКА, ФКП",15290,мексидол,раствор амп в/м в/в,5,50мг/мл 5мл
"МЕТГЛИБ ФОРС 0,0025 + 0,5 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Канонфарма продакшн, ЗАО",45323,метглиб форс,табл п/плен/оболоч,30,"2,5мг 500мг"
"ЭХИНАЦЕЯ КОМПОЗИТУМ СН 2,2МЛ N100 АМП Р-Р В/М",Биологише Хайльмиттель Хеель ГмбХ,20984,эхинацея композитум сн,раствор амп в/м,100,2.2мл
"КЕТОТИФЕН СОФАРМА 0,001 N30 ТАБЛ",Софарма АО,14950,кетотифен софарма,табл,30,1мг
"ЛОРТЕНЗА 0,005 + 0,1 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",44311,лортенза,табл п/плен/оболоч,90,5мг 100мг
ЭЛТАЦИН N30 ТАБЛ,"БИОТИКИ МНПК,ООО",17690,элтацин подъяз,табл,30,
ЭНАП-H N60 ТАБЛ,"КРКА-РУС, ООО",46253,энап-н,табл,60,25мг 10мг
"ВИТА-ПОС СРЕДСТВО ОФТАЛЬМОЛОГИЧЕСКОЕ 5,0",Урсафарм Арцнаймиттель ГмбХ,17489,вита-пос ср-во смазывающее офтальмологическое,туба,1,5г
"ЛИМФОМИОЗОТ 1,1МЛ N100 АМП",Биологише Хайльмиттель Хеель ГмбХ,20952,лимфомиозот гомеопат,раствор амп в/м,100,"1,1мл"
"МИКОЗОРАЛ 2% 150,0 ШАМПУНЬ/ТУБА",Медана Фарма Акционерное Общество,46885,микозорал лечебный,шампунь,1,2% 150г
"КЛЕЕНКА ПОДКЛАДНАЯ ПВХ ВИТАЛФАРМ 2,0 Х1,4М",ВИТАЛФАРМ ЗАО,7486,клеенка подкладная с пвх покрытием 14м х 2м арт0025,,1,
"ПАРИЕТ 0,01 N7 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",Бушу Фармасьютикалз Лтд. Мисато фэктори/ Силаг АГ,39921,париет,табл п/плен/оболоч кишечнораствор,7,10мг
"ЛЕЙКОПЛАСТЫРЬ БАКТЕРИЦИДНЫЙ МУЛЬТИПЛАСТ СИЛЬНОЙ ФИКСАЦИИ 2,5Х7,2 N1",Новосибхимфарм ОАО,11262,лейкопластырь бактерицидный сильн фикс мультипласт 25 х 72см,,1,
АНТИГРИППИН Д/ВЗР N10 ШИП ТАБЛ /ГРЕЙПФРУТ/,Натур Продукт Фарма Сп.Зо.о.,15635,антигриппинейпфрут/ шип,табл,10,/г
"НАТРИЯ ХЛОРИД 0,9% 250МЛ N10 Р-Р Д/ИНФ/ПЛАСТ","Гематек, ООО",40694,натрия хлорид,флакон раствор,10,0.9% 250мл
МЕЗИМ-ФОРТЕ 10000 N20 ТАБЛ П/КИШЕЧНОРАСТВОРИМ/ОБОЛОЧ,Берлин-Фарма ЗАО,43230,мезим форте об,табл кишечнораствор,20,10000ед
ЧЕРНИКА-ФОРТЕ С ЛЮТЕИНОМ N50 ТАБЛ П/О,Эвалар ЗАО,12121,черника форте /с лютеином/,табл,50,
НАНОПЛАСТ ФОРТЕ 9Х12СМ N3,"Гуйчжоу Мяояо Фармасьютикл Ко.,Лтд",18373,нанопласт форте лейкопластырь медицинский 9х12 см,,3,
"ЛОЗАП 0,0125 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Санека Фармасьютикалс а.с.,47410,лозап конт,табл п/плен/оболоч инд/уп,90,12.5мг
"ПАКЛИТАКСЕЛ-ЭБЕВЕ 0,006/МЛ 5МЛ ФЛАК КОНЦ Д/Р-РА",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,16747,паклитаксел-эбеве -т,конц д/приг раствора д/инф,1,6мг/мл 5мл
"ПЛАГРИЛ 0,075 N30 ТАБЛ П/ПЛЕН ОБОЛОЧ",Д-р Редди с Лабораторис Лтд,19754,плагрил,табл п/плен/оболоч,30,75мг
"ДЕПО-ПРОВЕРА 0,15/МЛ 1МЛ N1 ФЛАК СУСП В/М",Пфайзер МФГ.Бельгия Н.В.,3282,депо-провера,флакон для инъекций сусп,1,150мг 1мл
"АМОКСИКЛАВ 0,125+0,03125/5МЛ 100МЛ ФЛАК ПОР Д/СУСП",Лек Д.Д.,6881,амоксиклав,д/вн/пр д/приг сусп,1,"125мг 31,25мг 5мл"
"СБОР БРУСНИВЕР 2,0 N20 Ф/П",Красногорсклексредства АО,11629,сбор бруснивер ф/,п/плен/оболоч,20,2г
ХЛОРОФИЛЛИПТ 2% 20МЛ МАСЛ Р-Р/ВИФИТЕХ,"Вифитех, ЗАО",7655,хлорофиллипт,масл флакон раствор,1,2% 20мл
ТРЕСИБА ФЛЕКС ТАЧ Р-Р П/К 100МЕ/МЛ 3МЛ N5 ШПРИЦ-РУЧКА,Ново Нордиск А/С,41780,тресиба флекстач мл кардриджи -ручке,раствор п/к шприц,5,100ед 3мл
"ВАМЛОСЕТ 0,005+0,16 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",44117,вамлосет,табл п/плен/оболоч,30,5мг 160мг
"ФЛУТАМИД 0,25 N84 ТАБЛ /ОРИОН",Орион Корпорейшн,17268,флутамид,табл,84,250мг
"ТЕГРЕТОЛ ЦР 0,4 N30 ТАБЛ ПРОЛОНГ П/О",Новартис Фарма С.п.А.,15929,тегретол цр действ,табл п/плен/оболоч,30,400мг
"ТИЗАЛУД 0,004 N30 ТАБЛ","Верофарм,АО",37166,тизалуд,табл,30,4мг
ДОППЕЛЬГЕРЦ АКТИВ ГЛЮКОЗАМИН+ХОНДРОИТИН N30 КАПС,Квайссер Фарма ГмбХ и Ко.КГ,18295,доппельгерц актив глюкозаминхондроитин,,30,
"АФРИН ЭКСТРО 0,05% 15МЛ СПРЕЙ НАЗАЛ",Контракт  Фармасьютикалс   Лимитед,37419,африн экстро с эвкалиптом ментолом,флакон назал спрей,1,".0,05% 15мл"
КАЛЬЦЕМИН N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Контракт Фармакал Корпорейшн,41306,кальцемин,табл п/плен/оболоч,60,
ФИТОМУЦИЛ НОРМ N10 ПАК,"Probiotics International Ltd./ БиоВид, ООО",40095,фитомуцил норм,пак,10,5г
"ТЕЛМИСТА 0,08 N28 ТАБЛ","КРКА, д.д., Ново место, АО",44386,телмиста,табл,28,80мг
ФРИДЕРМ ЦИНК ШАМПУНЬ 150МЛ,Mipharm S.p.A.,21813,фридерм zink,шампунь,1,150мл
"ЭТОПОЗИД-ТЕВА 0,02/МЛ 5МЛ ФЛАК",Фармахеми Б.В.,38320,этопозид-тева,конц флакон раствор д/инф,1,20мг/мл 5мл
КОМПЛИВИТ АКТИВ N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ,"Фармстандарт-Уфимский витаминный завод,ОАО",4690,компливит актив,табл п/плен/оболоч банка,30,
ДОРИТРИЦИН N10 ТАБЛ Д/РАССАС,Медице Арцнаймиттель Пюттер ГмбХ &Ко.КГ,45501,доритрицин,табл д/рассас,10,
ЛОВЕЛАС ФОРТЕ N16 КАПС,Растительные Ресурсы НПК ООО,42379,ловелас форте,капс,16,"0,65г"
"МЕЛОКСИКАМ 0,015 N20 ТАБЛ",Вертекс Акционерное Общество,15253,мелоксикам,табл,20,15мг
"МОНОЧИНКВЕ РЕТАРД 0,05 N30 КАПС РЕТАРД",А.Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С,291,моночинкве ретард,капс,30,50мг
АСКОРИЛ N10 ТАБЛ,Гленмарк Фармасьютикалз Лтд,15220,аскорил,табл,10,
ЭРМИТАЛЬ 10000ЕД N20 КАПС,Нордмарк Арцнаймиттель ГмбХ &Ко.КГ/ Нордикс Фарма Фертриб ГмбХ,42945,эрмиталь,капс,20,10000ед
АРТРА МСМ ФОРТЕ N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Юнифарм Инк,40748,артра мсм форте,табл п/плен/оболоч,60,
ГАСТАЛ N12 ТАБЛ Д/РАССАС /ВИШНЯ/,Плива Хрватска д.о.о.,44342,гастал /вишня/,табл д/рассас,12,
"ФОТИЛ 0,02+0,005/МЛ 5МЛ ФЛАК/КАП ГЛ КАПЛИ",САНТЭН АО,10850,фотил,фл/кап глаз капли,1,20мг/мл 5мг/мл 5мл
ШАЛФЕЙ НАТУР ПРОДУКТ N24 ПАСТИЛКИ,Dr.med.Aufdermaur AG,46344,шалфей натур продукт,пастилки,24,"2,5г"
БРОНХИКУМ С 100МЛ СИРОП,А.Наттерманн энд Сие ГмбХ,133,бронхикум с стакан,флакон дозир сироп,1,100мл
"УРОТОЛ 0,002 N56 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Зентива к.с.,21154,уротол,табл п/плен/оболоч,56,2мг
ТАБЛЕТКИ ОТ КАШЛЯ N20 (ТЕРМОПСОЛ),Фармстандарт-Лексредства ОАО,44032,термопсол кашля,табл от выпадения волос,20,
"ЛЕРИВОН 0,03 N20 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Н.В. Органон,6624,леривон,табл п/плен/оболоч,20,30мг
"ЛЕЯ 0,003+ 0,00002 N84 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Синдеа Фарма С.Л.,42696,лея,табл п/плен/оболоч,84,"3мг 0,02мг"
"ФЕНИБУТ 0,25 N20 ТАБЛ/БЕЛМЕД","БЕЛМЕДПРЕПАРАТЫ, РУП",5598,фенибут,табл,20,250мг
"ТАРКА 0,24/0,004 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ С МОДИФ ВЫСВОБ",ЭббВи Дойчланд ГмбХ и Ко.КГ,40354,тарка модиф,табл п/плен/оболоч,28,240мг 4мг
"ДАЛЬНЕВА 0,005+0,004 N30 ТАБЛ","КРКА-РУС, ООО",37761,дальнева,табл,30,5мг 4мг
"МЕЛОКСИКАМ-ТЕВА 0,015 N10 ТАБЛ",Тева Прайвэт Ко.Лтд Фарм.завод,22062,мелоксикам-тева,табл,10,15мг
КОМПЛИВИТ КАЛЬЦИЙ Д3 N100 ТАБЛ ЖЕВ/АПЕЛЬСИН,"Фармстандарт-Уфимский витаминный завод,ОАО",11768,компливит кальций д3 /апельсин/ пачка,табл жев,100,
ДОРМИКИНД N150 ТАБЛ Д/РАССАС,Дойче Хомеопати-Унион ДХУ-Арцнаймиттель ГмбХ & Ко.,37756,дормикинд д/ рассмеопат 150 шт,табл д/дет,1,.г
СОЛГАР НУТРИКОЭНЗИМ Q10 С АЛЬФА-ЛИПОЕВ К-ТОЙ N60 КАПС,Solgar Vitamin and Herb,22731,солгар нутрикоэнзим q-10 c альфа-липоев кислот бад,капс,60,
ХИЛАБАК РАСТВОР УВЛАЖНЯЮЩИЙ ДЛЯ ГЛАЗ И КОНТАКТНЫХ ЛИНЗ 10МЛ,Лаборатуар Теа,20869,хилабак увл д/ конт линз,раствор глаз,1,0.15% 10мл
АТИМОС 12МКГ/ДОЗА 120ДОЗ ФЛАК АЭРОЗОЛЬ Д/ИНГ,"Кьези Фармацевтичи С.п.А./Фармстандарт-Лексредства, ОАО",39841,атимос 120 /доза,аэроз д/инг дозир,1,12мг
RENU MPS УНИВЕРСАЛЬНЫЙ РАСТВОР ДЛЯ ЛИНЗ 360МЛ,Бауш энд Ломб Инкорпорейтед,15082,раствор д/контактнлинз renu mps д/чувст,глаз,1,360мл
РЕННИ N12 ЖЕВ ТАБЛ /МЕНТОЛ/,Делфарм Гайярд,3407,реннитол/,табл жев,12,/ме
"ЛАЗОЛВАН 0,03 N50 ТАБЛ",Берингер Ингельхайм Эллас А.Е,47265,лазолван,табл блистер,50,30мг
ФЕМОДЕН N21 ТАБЛ П/О,Байер Веймар Гмбх и Ко КГ,44391,фемоден,табл п/плен/оболоч,21,
"ЭЛИДЕЛ 1% 30,0 КРЕМ Д/НАРУЖ ПРИМ",МЕДА Мануфакчуринг,44246,элидел,д/наруж д/мест крем,1,1% 30г
"БУСКОПАН 0,01 N10 СУПП РЕКТ",Институт де Ангели С.Р.Л.,46946,бускопан,рект супп,10,10мг
"УРОНОРМИН-Ф 3,0 N1 ПАК ПОР Д/ Р-РА Д/ПРИЕМА ВНУТРЬ",Фармстандарт-Лексредства ОАО,45397,уронормин-ф,д/вн/пр д/приг д/приг сусп раствора пак,1,3г 8г
КЛИМОНОРМ N21 ДРАЖЕ,Байер Веймар Гмбх и Ко КГ,3517,климонорм,драже,21,
ИНГАЛЯТОР AMNB-502 КОМПРЕССОРНЫЙ ПАРОВОЗИК ЗДОРОВЬЯ,Кволити Лайф Текнолоджиз Ко.Лтд,43513,ингалятор компрессорный amnb-502,,1,
"ЛИДОКАИН 10% 38,0 СПРЕЙ /ЭГИС",Эгис Фармацевтический завод ЗАО,617,лидокаин доза 650,д/мест флакон дозир спрей,1,"4,6мг 38г"
"БРОНХИКУМ С 0,1 N20 ПАСТИЛКИ",Санофи-Авентис  Сп.  з о.о,14802,бронхикум с,пастилки,20,
"ХОНДРОИТИН-АКОС 5% 30,0 МАЗЬ Д/НАРУЖ ПРИМ","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",14617,хондроитин-акос,мазь,1,5% 30г
"ТЕТУРАМ 0,15 N50 ТАБЛ /АВВА РУС",АВВА РУС  АО,3217,тетурам,табл,50,150мг
РИГЕВИДОН N21Х3 ТАБЛ П/О,Гедеон Рихтер ОАО,922,ригевидон,табл п/плен/оболоч,63,
"АМЛОДИПИН 0,01 N30 ТАБЛ /КАНОНФАРМА/","Канонфарма продакшн, ЗАО",7577,амлодипин,табл,30,10мг
"ГЕМАТОГЕН С-ВИТА ПЛЮС 50,0","Фарм-про ПК,ООО",38830,гематоген с вита плюс,,1,50г
"ИРУНИН 0,1 N10 КАПС","Верофарм,АО",5932,ирунин,капс,10,100мг
"ЛИЗИНОПРИЛ 0,01 N30 ТАБЛ/ВЕРТЕКС/",Вертекс Акционерное Общество,46725,лизиноприл,табл,30,10мг
ЦИНОВИТ ШАМПУНЬ ПРОТИВ ПЕРХОТИ 150МЛ,"Зеленая Дубрава, ЗАО",41084,циновит перхоти,от выпадения волос шампунь,1,150г
АНВИМАКС N10 ТАБЛ ШИП/КЛЮКВА,ФармВилар НПО ООО,46369,анвимакс клюква шип,табл,10,
"КО-ДАЛЬНЕВА 0,01+0,0025+0,008 N90 ТАБЛ","КРКА-РУС, ООО",46993,ко-дальнева,табл,90,"10мг 2,5мг 8мг"
"НИФЕКАРД ХЛ 0,03 N60 ТАБЛ С МОДИФИЦ ВЫСВОБ П/ПЛЕН/ОБОЛОЧ",Лек Д.Д.,40849,нифекард xl модиф,табл п/плен/оболоч,60,30мг
